iter	Logloss
0	0.6326797967
1	0.5821793391
2	0.5416805688
3	0.5086177744
4	0.4815715205
5	0.4601731305
6	0.4433561294
7	0.4282055523
8	0.4157943163
9	0.4049774472
10	0.3971650951
11	0.3904011967
12	0.3844223172
13	0.379717692
14	0.3756615738
15	0.372308967
16	0.368952594
17	0.3662987582
18	0.3643450296
19	0.3622908147
20	0.3610500298
21	0.3596786731
22	0.3586974071
23	0.3581441462
24	0.3572008291
25	0.3563958825
26	0.3560325767
27	0.3553322707
28	0.3549087541
29	0.3540002204
30	0.3536213237
31	0.3531961668
32	0.3528784155
33	0.3524694857
34	0.3521537186
35	0.3518459026
36	0.3514913258
37	0.3512669202
38	0.3511082247
39	0.3507788097
40	0.3505451227
41	0.3503386286
42	0.3501830443
43	0.3500485879
44	0.3499476653
45	0.3496227469
46	0.3494709615
47	0.3493477469
48	0.3492409708
49	0.3491594197
50	0.3490298995
51	0.3488066979
52	0.348723042
53	0.3486465529
54	0.3485891764
55	0.3485313091
56	0.3484497731
57	0.3483918325
58	0.348176431
59	0.3481209405
60	0.3480672787
61	0.3479946686
62	0.3478917799
63	0.3478239332
64	0.3478169689
65	0.3477521611
66	0.3477053533
67	0.3476574176
68	0.3475033565
69	0.3474621324
70	0.3473921552
71	0.3472798306
72	0.3472393109
73	0.3471892613
74	0.3471370079
75	0.3470544233
76	0.346991346
77	0.3469502696
78	0.3469122605
79	0.3468666029
80	0.3468278844
81	0.3467700467
82	0.3467273138
83	0.3466843233
84	0.3466369468
85	0.3465857918
86	0.3465502176
87	0.3464858899
88	0.3464300846
89	0.3463915584
90	0.3463186878
91	0.3462319237
92	0.3461902882
93	0.3461433795
94	0.3461124139
95	0.3460755226
96	0.3460240061
97	0.3459709012
98	0.3459467677
99	0.3459172801
100	0.3458914677
101	0.3458503461
102	0.3458009033
103	0.3457760324
104	0.3457528486
105	0.3457296659
106	0.3456875035
107	0.3456546036
108	0.3456036358
109	0.3455754861
110	0.3455270749
111	0.345476798
112	0.345392506
113	0.3453709402
114	0.3453329477
115	0.3452992926
116	0.3452595815
117	0.3452372347
118	0.3452177101
119	0.3451777179
120	0.3451537633
121	0.3451116328
122	0.3450869491
123	0.3450514232
124	0.345018959
125	0.3449807264
126	0.3449493602
127	0.3449321022
128	0.3448819733
129	0.3448419838
130	0.3448107183
131	0.3447673784
132	0.3447475359
133	0.3447196798
134	0.344705838
135	0.3446745614
136	0.344653597
137	0.34462295
138	0.3445831182
139	0.3445345732
140	0.3445027652
141	0.3444644226
142	0.3444342533
143	0.3444151014
144	0.3443821082
145	0.3443565543
146	0.3442875851
147	0.3442654392
148	0.3442243678
149	0.3441977258
150	0.3441791338
151	0.3441515639
152	0.344118652
153	0.3440853388
154	0.3440482102
155	0.3440234899
156	0.3439878026
157	0.343965028
158	0.3439335065
159	0.3439054954
160	0.3438523928
161	0.3438348054
162	0.3438058867
163	0.3437611088
164	0.3437265311
165	0.3436786487
166	0.3436103002
167	0.3435852851
168	0.3435446746
169	0.3435024371
170	0.3434646353
171	0.3434335124
172	0.3433841316
173	0.3433559073
174	0.3433193575
175	0.3433022517
176	0.3432768022
177	0.3432388676
178	0.3432048603
179	0.3431711715
180	0.3431478506
181	0.3431124371
182	0.3430756079
183	0.3430408121
184	0.3430091904
185	0.3429892702
186	0.3429577557
187	0.3429323639
188	0.3428991087
189	0.3428598541
190	0.3428276082
191	0.3427946023
192	0.3427753076
193	0.3427441557
194	0.3427030507
195	0.3426735688
196	0.3426407966
197	0.3426041754
198	0.3425743514
199	0.3425523904
200	0.3425137846
201	0.3424972668
202	0.3424645315
203	0.3424289401
204	0.3423966019
205	0.3423708934
206	0.3423407129
207	0.3423156443
208	0.3422904488
209	0.3422671337
210	0.3422364464
211	0.3421784274
212	0.3421408409
213	0.3421117531
214	0.3420829175
215	0.3420460927
216	0.3420189955
217	0.3419801697
218	0.3419535964
219	0.341930703
220	0.3418919534
221	0.3418567845
222	0.3418385729
223	0.3418122593
224	0.3417888948
225	0.3417594711
226	0.3417319616
227	0.3416962552
228	0.3416727647
229	0.3416449715
230	0.3416155221
231	0.3415995767
232	0.3415551175
233	0.3415251717
234	0.3414952517
235	0.3414655988
236	0.3414472449
237	0.3414173451
238	0.3413709042
239	0.3413542261
240	0.341326912
241	0.3412959109
242	0.3412550232
243	0.3412351489
244	0.3412106464
245	0.3411610886
246	0.3411311313
247	0.3411097109
248	0.3410902935
249	0.3410620399
250	0.3410264315
251	0.3409893205
252	0.3409642313
253	0.3409349943
254	0.3409129779
255	0.3408826243
256	0.3408482803
257	0.3408336347
258	0.3407943102
259	0.3407707628
260	0.3407363881
261	0.3407086713
262	0.3406711794
263	0.3406399534
264	0.3406099702
265	0.3405832492
266	0.3405588977
267	0.3405283525
268	0.3405103376
269	0.3404871953
270	0.3404528081
271	0.3404235462
272	0.3403870348
273	0.3403627577
274	0.3403281751
275	0.3403046247
276	0.3402796378
277	0.3402485076
278	0.340227405
279	0.3402092842
280	0.3401792046
281	0.3401507483
282	0.3401265095
283	0.3400848899
284	0.3400503001
285	0.3400314301
286	0.3400079516
287	0.3399760857
288	0.3399388396
289	0.3399067908
290	0.3398726759
291	0.3398505952
292	0.3398307793
293	0.3398200353
294	0.3397907384
295	0.3397676091
296	0.3397487985
297	0.3397298632
298	0.3397054809
299	0.3396785717
300	0.3396472514
301	0.339620688
302	0.3395905131
303	0.3395755006
304	0.339539622
305	0.3395081147
306	0.3394921394
307	0.3394604151
308	0.3394453488
309	0.3394244303
310	0.339398303
311	0.3393664072
312	0.3393411608
313	0.3393005601
314	0.3392733734
315	0.339260195
316	0.3392457592
317	0.3392227174
318	0.3391932254
319	0.3391724455
320	0.3391377451
321	0.3391188193
322	0.3390931914
323	0.3390678928
324	0.3390350151
325	0.3390117508
326	0.3389950117
327	0.3389732146
328	0.338945121
329	0.3389126794
330	0.3388950138
331	0.3388711829
332	0.3388336206
333	0.3388041648
334	0.338772649
335	0.3387515148
336	0.3387218049
337	0.3386885198
338	0.3386698463
339	0.3386536467
340	0.3386291871
341	0.3386041146
342	0.3385660077
343	0.3385439677
344	0.3385209664
345	0.3384981472
346	0.3384782468
347	0.3384506571
348	0.3384180945
349	0.338403641
350	0.3383680109
351	0.3383539264
352	0.338334321
353	0.3383182286
354	0.3382958871
355	0.3382647229
356	0.3382367012
357	0.3382234786
358	0.3382105378
359	0.3381801168
360	0.3381544028
361	0.3381371333
362	0.3381025976
363	0.338074936
364	0.3380346551
365	0.3380014673
366	0.3379893189
367	0.3379641791
368	0.3379360969
369	0.3379202443
370	0.3378900109
371	0.3378540341
372	0.3378295575
373	0.3378081452
374	0.3377821645
375	0.33775058
376	0.3377182947
377	0.3376778094
378	0.3376561799
379	0.3376199329
380	0.3375885429
381	0.3375663827
382	0.3375422753
383	0.3375262678
384	0.3375036905
385	0.3374699989
386	0.3374409916
387	0.3374140997
388	0.3373818937
389	0.3373577439
390	0.3373368968
391	0.3373121234
392	0.3372956457
393	0.3372726335
394	0.3372519697
395	0.3372292265
396	0.3372071082
397	0.3371862134
398	0.337143269
399	0.3371293527
400	0.3371180116
401	0.3370931454
402	0.3370556546
403	0.3370337712
404	0.3370163593
405	0.3370063639
406	0.3369848038
407	0.3369692643
408	0.3369495649
409	0.3369317239
410	0.3369053165
411	0.3368935082
412	0.3368630094
413	0.3368459934
414	0.3368092793
415	0.3367783073
416	0.3367540237
417	0.3367407338
418	0.3367185129
419	0.3366915997
420	0.3366655888
421	0.3366437121
422	0.3366101283
423	0.3365840833
424	0.3365518446
425	0.3365217533
426	0.3364891733
427	0.3364573343
428	0.3364300002
429	0.3364110286
430	0.3363818442
431	0.3363471691
432	0.3363233778
433	0.3362971365
434	0.3362737881
435	0.336265011
436	0.3362414514
437	0.336213509
438	0.3361896871
439	0.3361661249
440	0.3361448475
441	0.3361087716
442	0.3360916567
443	0.3360600183
444	0.3360393808
445	0.3359940155
446	0.3359791364
447	0.3359672357
448	0.3359386993
449	0.3359112934
450	0.3358761281
451	0.3358470749
452	0.3358282453
453	0.3358179226
454	0.3357896493
455	0.3357804514
456	0.335752346
457	0.3357249235
458	0.3357036471
459	0.335680557
460	0.335655129
461	0.3356252102
462	0.3355870201
463	0.3355728282
464	0.3355435705
465	0.3355126991
466	0.335489995
467	0.335457834
468	0.3354391624
469	0.3354114395
470	0.3353937468
471	0.3353723752
472	0.3353472777
473	0.335325073
474	0.3353014062
475	0.3352787558
476	0.3352446056
477	0.3352042998
478	0.3351873521
479	0.3351676182
480	0.3351480872
481	0.3351237043
482	0.3350990018
483	0.3350826944
484	0.3350573673
485	0.3350404385
486	0.3350128119
487	0.3349864538
488	0.3349498252
489	0.3349320455
490	0.3349084292
491	0.3348875465
492	0.3348662891
493	0.3348517533
494	0.3348382617
495	0.3348209707
496	0.3348021824
497	0.3347866352
498	0.3347577263
499	0.334731772
500	0.3347072805
501	0.3346869609
502	0.3346709996
503	0.3346350858
504	0.3346083666
505	0.3345822517
506	0.3345555782
507	0.3345273437
508	0.3345076283
509	0.3344870404
510	0.3344656552
511	0.3344514002
512	0.3344242895
513	0.3343919652
514	0.3343813135
515	0.3343596482
516	0.3343444618
517	0.3343101736
518	0.3342944849
519	0.3342700658
520	0.3342343117
521	0.3342154087
522	0.3341925922
523	0.3341630987
524	0.3341451251
525	0.3341223832
526	0.334096769
527	0.3340680373
528	0.3340539892
529	0.3340243643
530	0.3340027409
531	0.3339772601
532	0.3339576196
533	0.3339475691
534	0.3339329903
535	0.3339118386
536	0.3339047305
537	0.3338827599
538	0.3338461176
539	0.3338189913
540	0.3337943806
541	0.3337741227
542	0.3337387333
543	0.3337250257
544	0.3336997512
545	0.3336863371
546	0.3336583687
547	0.3336351551
548	0.3336192276
549	0.3335982052
550	0.3335670243
551	0.3335581324
552	0.3335323753
553	0.3335101579
554	0.3334933585
555	0.3334767481
556	0.3334563622
557	0.3334415924
558	0.3334120457
559	0.3333845409
560	0.3333624587
561	0.3333431499
562	0.3333246058
563	0.3333017521
564	0.3332726998
565	0.3332549005
566	0.3332267929
567	0.3332136066
568	0.3331911083
569	0.333168487
570	0.3331578655
571	0.3331368167
572	0.3331091371
573	0.3330861584
574	0.3330657019
575	0.3330348656
576	0.3330118066
577	0.3329891256
578	0.3329736147
579	0.3329505073
580	0.3329277261
581	0.332918387
582	0.3329012747
583	0.3328841708
584	0.3328566457
585	0.3328370583
586	0.3328231068
587	0.3328040404
588	0.3327780018
589	0.3327629595
590	0.3327362975
591	0.3327228511
592	0.3326951733
593	0.3326872381
594	0.3326691288
595	0.3326421764
596	0.332622992
597	0.332611244
598	0.3325909884
599	0.3325635855
600	0.3325391851
601	0.3325205964
602	0.3324937297
603	0.3324726375
604	0.3324535613
605	0.3324205127
606	0.3324059261
607	0.3323874054
608	0.3323692783
609	0.3323503665
610	0.3323290963
611	0.3323191858
612	0.3322956354
613	0.3322799825
614	0.3322572835
615	0.3322316951
616	0.3322097449
617	0.3321797559
618	0.3321613655
619	0.3321412434
620	0.33212051
621	0.3320944398
622	0.3320845786
623	0.3320519802
624	0.3320260172
625	0.3320043141
626	0.3319903371
627	0.3319727302
628	0.3319586333
629	0.3319343768
630	0.3319090944
631	0.3318896024
632	0.3318736808
633	0.3318679417
634	0.3318533151
635	0.3318372681
636	0.3318175814
637	0.3318015683
638	0.3317707289
639	0.3317533014
640	0.3317214769
641	0.3316991487
642	0.3316795969
643	0.3316643106
644	0.3316447023
645	0.3316190124
646	0.331597424
647	0.3315807234
648	0.331560669
649	0.3315477403
650	0.3315210449
651	0.3314877755
652	0.3314754689
653	0.3314573049
654	0.3314376345
655	0.3314143334
656	0.3313923685
657	0.3313710225
658	0.331352539
659	0.3313144579
660	0.3312965616
661	0.3312640385
662	0.3312405796
663	0.3312235979
664	0.3312019525
665	0.331192915
666	0.3311709779
667	0.3311473518
668	0.3311337705
669	0.3311064416
670	0.3310797162
671	0.3310581239
672	0.3310256751
673	0.3310146514
674	0.3309821445
675	0.3309487765
676	0.3309314103
677	0.3309105352
678	0.3308938464
679	0.3308697607
680	0.3308440087
681	0.3308191766
682	0.3308013269
683	0.3307851829
684	0.3307631622
685	0.3307399771
686	0.3307163515
687	0.3307003347
688	0.3306874372
689	0.3306704101
690	0.3306458169
691	0.3306200573
692	0.3306085012
693	0.3305897271
694	0.3305645804
695	0.3305266047
696	0.3304977888
697	0.3304824318
698	0.3304529309
699	0.3304376404
700	0.3304210062
701	0.3304096242
702	0.3303971658
703	0.3303700244
704	0.3303375889
705	0.3303211736
706	0.3302985384
707	0.3302768726
708	0.3302559566
709	0.330244428
710	0.3302233735
711	0.330202089
712	0.3301751001
713	0.3301531796
714	0.3301308558
715	0.3301164822
716	0.3300969248
717	0.3300648965
718	0.3300527902
719	0.3300341123
720	0.3300070577
721	0.3299877286
722	0.3299541352
723	0.3299343462
724	0.3299018717
725	0.329890659
726	0.3298757908
727	0.3298540542
728	0.3298332402
729	0.3298212299
730	0.3298061227
731	0.3297899398
732	0.3297665676
733	0.329743357
734	0.3297238702
735	0.3297184474
736	0.3296967584
737	0.3296748686
738	0.3296529902
739	0.3296321625
740	0.3296098472
741	0.3295923154
742	0.329576532
743	0.3295557351
744	0.3295402847
745	0.3295119358
746	0.3294884605
747	0.3294677747
748	0.3294482053
749	0.3294435349
750	0.3294280921
751	0.3294103743
752	0.3293831422
753	0.3293639982
754	0.3293427464
755	0.3293232588
756	0.3293041144
757	0.3292826099
758	0.3292631225
759	0.3292483678
760	0.3292317913
761	0.3292144928
762	0.3291891216
763	0.3291669893
764	0.3291495507
765	0.3291214723
766	0.3291017748
767	0.3290759109
768	0.3290546471
769	0.329029292
770	0.3290071952
771	0.328986184
772	0.328962083
773	0.3289380255
774	0.3289193372
775	0.3288885055
776	0.3288669016
777	0.3288385017
778	0.32882236
779	0.328798071
780	0.3287747094
781	0.3287570206
782	0.3287372433
783	0.3287220794
784	0.3287027436
785	0.3286908058
786	0.3286732081
787	0.3286567826
788	0.328644801
789	0.3285955106
790	0.3285672995
791	0.328550719
792	0.3285343339
793	0.328524136
794	0.3285029847
795	0.3284832503
796	0.3284722408
797	0.3284645325
798	0.3284466675
799	0.3284261919
800	0.3284122307
801	0.3283991731
802	0.3283822991
803	0.3283580541
804	0.3283373286
805	0.3283064407
806	0.3282837983
807	0.3282534605
808	0.3282344062
809	0.328223726
810	0.3282118287
811	0.3281933202
812	0.3281731236
813	0.3281616624
814	0.3281531928
815	0.3281289245
816	0.3281140882
817	0.3280868275
818	0.3280542899
