iter	Passed	Remaining
0	170	170556
1	191	95399
2	212	70609
3	234	58311
4	253	50441
5	272	45215
6	291	41401
7	312	38750
8	325	35801
9	340	33738
10	360	32402
11	383	31605
12	406	30848
13	425	29985
14	441	28975
15	459	28274
16	479	27740
17	499	27274
18	519	26828
19	540	26468
20	563	26288
21	589	26188
22	614	26100
23	639	26014
24	667	26018
25	695	26047
26	721	25993
27	742	25774
28	772	25850
29	796	25757
30	823	25747
31	850	25724
32	873	25595
33	900	25578
34	927	25568
35	953	25530
36	987	25693
37	1017	25759
38	1043	25715
39	1074	25783
40	1106	25888
41	1135	25893
42	1168	26013
43	1200	26076
44	1233	26179
45	1264	26216
46	1296	26296
47	1327	26338
48	1356	26333
49	1382	26262
50	1410	26254
51	1438	26228
52	1462	26131
53	1486	26039
54	1511	25966
55	1535	25884
56	1562	25849
57	1579	25655
58	1606	25621
59	1633	25586
60	1657	25520
61	1684	25490
62	1709	25425
63	1739	25436
64	1768	25433
65	1789	25326
66	1817	25303
67	1844	25286
68	1872	25268
69	1899	25241
70	1929	25248
71	1955	25206
72	1983	25190
73	2011	25169
74	2038	25140
75	2065	25114
76	2095	25115
77	2119	25059
78	2148	25044
79	2165	24908
80	2193	24882
81	2219	24845
82	2246	24819
83	2274	24799
84	2295	24711
85	2320	24663
86	2349	24652
87	2372	24583
88	2398	24554
89	2426	24530
90	2452	24501
91	2479	24475
92	2509	24476
93	2536	24449
94	2563	24425
95	2590	24390
96	2616	24359
97	2643	24326
98	2671	24316
99	2697	24275
100	2724	24249
101	2750	24219
102	2777	24185
103	2804	24157
104	2824	24079
105	2845	24002
106	2869	23949
107	2899	23943
108	2926	23925
109	2953	23893
110	2979	23864
111	3006	23837
112	3033	23810
113	3061	23790
114	3090	23783
115	3113	23724
116	3137	23675
117	3165	23661
118	3190	23618
119	3220	23618
120	3249	23607
121	3275	23571
122	3302	23545
123	3328	23514
124	3354	23482
125	3380	23447
126	3406	23419
127	3433	23393
128	3460	23368
129	3481	23301
130	3505	23253
131	3525	23180
132	3552	23156
133	3574	23097
134	3600	23069
135	3628	23052
136	3653	23013
137	3681	22992
138	3707	22964
139	3733	22937
140	3753	22868
141	3773	22802
142	3799	22770
143	3827	22754
144	3860	22761
145	3889	22751
146	3917	22731
147	3945	22714
148	3972	22691
149	3999	22665
150	4029	22654
151	4061	22660
152	4094	22669
153	4125	22662
154	4156	22657
155	4180	22618
156	4212	22621
157	4233	22560
158	4269	22581
159	4302	22587
160	4332	22579
161	4363	22572
162	4395	22568
163	4417	22520
164	4452	22529
165	4485	22536
166	4517	22531
167	4548	22525
168	4572	22485
169	4604	22480
170	4638	22486
171	4672	22494
172	4703	22483
173	4727	22441
174	4758	22430
175	4788	22419
176	4820	22414
177	4851	22406
178	4882	22394
179	4910	22371
180	4937	22341
181	4966	22321
182	4998	22317
183	5029	22304
184	5062	22302
185	5094	22296
186	5127	22292
187	5158	22279
188	5191	22278
189	5225	22276
190	5258	22273
191	5290	22264
192	5322	22254
193	5353	22240
194	5387	22240
195	5421	22240
196	5455	22237
197	5490	22239
198	5526	22243
199	5567	22270
200	5608	22295
201	5655	22341
202	5699	22378
203	5749	22435
204	5798	22488
205	5849	22546
206	5901	22608
207	5952	22666
208	6011	22750
209	6077	22864
210	6158	23029
211	6241	23200
212	6325	23372
213	6414	23558
214	6489	23694
215	6580	23885
216	6632	23931
217	6710	24070
218	6781	24184
219	6866	24345
220	6946	24485
221	7012	24576
222	7093	24717
223	7175	24859
224	7251	24977
225	7324	25086
226	7403	25211
227	7486	25350
228	7573	25499
229	7666	25666
